,ПРАЙС CASTROMIR ОБЩИЙ,,
,Дата: 20.04.2026,,
,Склад:,ОСНОВНОЙ СКЛАД,
№ п/п,Товар,оптовая заказ,Производитель
145,Гречневая крупа фасовка 5кг,1782,Россия
146,Киноа белая 1кг,2376,Казахстан
147,Киноа белая 2 кг,8316,
148,Киноа красная 1 кг,6210,Казахстан
149,Киноа черная (вес),6210,Казахстан
150,Киноа черная 1 кг,6210,Казахстан
151,"Крупа ""ЦАРЬ"" экстра 0,4кг",658.8,Россия
152,Крупа Булгур 1кг (вес),864,Турция
153,"Крупа ЦАРЬ ""5 злаков"" 0,4кг",453.6,Россия
154,"Крупа ЦАРЬ ""7 злаков"" 0,4кг",486,Россия
155,Крупа перловая (вес),4347,Россия
156,"Кукурузная крупа ""ВИП"" 0,7кг",410.4,Россия
157,Кукурузная крупа (вес),16146,Россия
158,Кукурузная крупа фасовка 5кг,2160,
159,"Кускус ""Granoro"" 1кг",2613.6,Турция
160,"Кускус ""УВЕЛКА"" 0,4кг",1620,Россия
161,"Манная крупа ""АЛТАЙСКАЯ СКАЗКА"" 0,7кг",345.6,Казахстан
162,"Манная крупа ""ВИП"" 0,7кг",388.8,Россия
163,Манная крупа (вес),334.8,Россия
164,Манная крупа фасовка 5кг,1684.8,Казахстан
165,Маш (вес),1209.6,Узбекистан
166,Маш фасовка 5кг,5346,Узбекистан
167,Нут 1кг,1782,Узбекистан
168,Нут фасованный 5кг,1792.8,Узбекистан
169,"Овсяные хлопья УВЕЛКА 0,35кг",756,Россия
170,Отруби вес.,162,Казахстан
171,Отруби фасовка 2кг,324,Казахстан
172,"Перловая крупа ""ВИП"" 0,8кг",356.4,Россия
173,Перловая крупа фасовка 5кг,1026,Россия
174,"Птитим ""УВЕЛКА"" 0,45кг",1555.2,Россия
175,"Пшеничная крупа ""ВИП"" 0,6кг",280.8,Россия
176,Пшеничная крупа (вес),226.8,Россия
177,Пшеничная крупа фасовка 5кг,1425.6,Россия
178,"Пшено ""АЛТАЙСКАЯ СКАЗКА"" 0,8кг",486,Казахстан
179,"Пшено ""ВИП"" 0,8кг",410.4,Россия
180,Пшено вес.,1425.6,Россия
181,Пшено фасовка 5кг,1404,Россия
182,РИС БАСМАТИ 25КГ,30650.4,Индия
183,"Рис ""БАНЗАЙ"" 25 кг",21729.6,Корея
184,"Рис ""БАНЗАЙ"" фасовка 5кг",4158,Корея
185,"Рис ""БАСМАТИ"" 5кг",7106.4,Турция
186,"Рис ""БЕРЕКЕ"" 5 кг",2624.4,Казахстан
187,"Рис ""КАМОЛИНО"" 25кг.",10800,Казахстан
188,"Рис ""ЛАЗЕР"" 25кг",34155,Узбекистан
189,"Рис ""ЛАЗЕР"" 30кг",32918.4,Узбекистан
190,"Рис ""ЛАЗЕР"" фасовка 5кг",6696,Узбекистан
191,"Рис ""ЛИДЕР"" 25кг",9450,Казахстан
192,"Рис ""ШИНАКИ"" 25кг.",23220,Корея
193,"Рис ""ШИНАКИ"" фасовка 5кг",4644,
194,"Рис ""ЯПОША"" 25кг",14904,Россия
195,Рис Арборио 1кг,4806,Италия
196,Рис Баракат/Айдана/Мерей 5кг.,2613.6,Казахстан
197,Рис Камолино фасованный 5кг,2548.8,Казахстан
198,Рис басмати фасовка 5 кг,6210,Индия
199,"Рис басмати ""УВЕЛКА"" 0,5кг",1728,Россия
200,"Рис бурый ""УВЕЛКА"" 0,5кг",777.6,Россия
201,"Рис дикий ""GALLO"" 0.5кг",3585.6,Италия
202,"Рис дикий ""УВЕЛКА"" 0,35кг",5076,Россия
203,"Рис жасмин ""УВЕЛКА"" 0,5кг",1600.56,Россия
204,Фасоль белая (вес),1676.16,Россия
205,Фасоль белая фасовка 5кг,8100,Россия
206,"Фасоль красная ""ВИП"" 0,7кг",1339.2,Россия
207,Фасоль красная (вес),1242,Россия
208,Фасоль красная 25кг,29700,Россия
209,Фасоль красная фасовка 5кг,6836.4,Россия
210,"Чечевица ""ВИП"" 0,7кг",685.8,Россия
211,Чечевица 25кг,13554,Россия
212,Чечевица фасовка 5кг,2710.8,Россия
213,"Ячневая крупа ""АЛТАЙСКАЯ СКАЗКА"" 0,8кг",307.8,Казахстан
214,"Ячневая крупа ""ВИП"" 0,6кг",280.8,Россия
215,Ячневая крупа (вес),178.2,Россия
216,Ячневая крупа фасовка 5кг,1188,Россия
,МАСЛА И ЖИРЫ,,
1,"Жир фритюрный ""Вегафрай"" 5л",5668,Россия
,"Жир фритюрный ""Вегафрай"" 7,5лит (6,9-",,
2,,7848,Россия
,7кг),,
,"Маргарин ""203"" для слоеного теста 80% 10",,
3,,12535,Казахстан
,кг,,
,"Маргарин ""271"" для слоеного теста 70%",,
4,,10943.6,Казахстан
,10кг,,
5,"Маргарин ""ГУДПРОДУКТ"" 1кг",1090,Россия
,"Маргарин ""МАРГО"" для песочного теста",,
6,,31740.8,Россия
,20кг,,
7,"Маргарин ""ЩЕДРОЕ ЛЕТО"" 72% 0,5кг",1994.7,Казахстан
8,"Маргарин ""ЩЕДРОЕ ЛЕТО"" 72% 1кг",2114.6,Казахстан
,"Маргарин ""ЭКОСЛАЙС"" для слоеного теста",,
9,,13843,Россия
,82% 10кг,,
10,"Маргарин ""ЭКОУНИВЕРСАЛ"" 20кг",25833,Россия
11,"Маргарин 3 ЖЕЛАНИЯ ""Пампушка"" 0,18кг",218,Россия
,Маргарин для слоен.теста 570%5*2 эколин,,
12,,17178.4,Россия
,вес 10кг ( Марго),,
,"Масло ""КРЕСТЬЯНСКОЕ"" сливочно-растит.",,
13,,1754.9,Казахстан
,"спред 72,5% 1кг",,
,"Масло кунжутное ""ЖУ СИН/ЮНН"" 0,48л",,
14,,1853,Китай
,(стекло),,
15,"Масло оливковое ""BLACK"" 5л ж/б",9483,Италия
16,"Масло оливковое ""CONOLIO"" 5л",15805,Италия
17,"Масло оливковое ""CONOLIO""1л",3488,Италия
18,"Масло оливковое ""ITALI OLIV"" 5л ж/б",9483,Италия
19,"Масло оливковое ""OLIV OIL"" 5л (пластик)",10028,Испания
20,"Масло оливковое ""OLIV OIL"" 0,25л",904.7,Испания
21,"Масло оливковое ""OLIV OIL"" 5л ж/б",9483,Испания
22,"Масло оливковое ""OLIVETTA"" 5л (пластик)",16295.5,Испания
23,"Масло оливковое ""ROMA"" 1л (стекло)",3509.8,Испания
24,"Масло оливковое ""VKUSNEL"" 0,5л",1635,Испания
25,"Масло оливковое ""VKUSNEL"" 5л",8611,Испания
26,Масло оливковое Oliv Oil 1 литр,2616,Испания
27,"Масло оливковое ж\б ""LA MASSERIA"" 5л",37605,Италия
28,"Масло оливковое экстра ""LA MASSERIA"" 1л",7771.7,Италия
29,"Масло оливковое экстра ""OLIV OIL"" 5л ж/б",9483,Испания
,"Масло подсолнечное ""ЖЕЛТЫЙ ДОМИК""",,
30,,4578,Россия
,"5л (4,5кг)",,
,"Масло подсолнечное ""МАСЛОЗАВОД №1""",,
31,,5646.2,Казахстан
,5л,,
,Масло подсолнечное в ассортименте 5л,,
32,,4392.7,Россия
,(деш),,
,"Масло сливочное ""PRESIDRENT"" не",,
33,,9592,Казахстан
,соленое 1кг,,
,"Масло сливочное ""АЯЛА ПЛЮС"" особое",,
34,,2038.3,Казахстан
,"0,833кг",,
