Отчет IMPRO v.1.0 build-727         << S_MARKET >>;;;
ПРАЙС ИМПРО ОБЩИЙ;;;
Дата: 05.05.2026;;;
Склад:   ОСНОВНОЙ СКЛАД;;;
Дни:   ;;;
Реквизиты идополнительные данные;;;
Торговая точка:   Gastro Mir;;;
;;;
№ п/п;Товар;;Производитель
38;"Сгущеное молоко ""3 ЖЕЛАНИЯ"" 0,38кг";550,00;Россия
39;"Сгущеное молоко ""ДЕП"" 0,6 кг ж/б ";1 606,00;Россия
40;"Сгущеное молоко ""ДЕП"" 0,7л";1 573,00;Россия
41;"Сгущеное молоко ""ЛЮБАВИНКА"" 1,43кг";1 936,00;Россия
42;"Сгущеное молоко вареное ""ДЕП"" 0,6кг";1 815,00;Россия
43;"Шоколад ""RESTORA"" 1кг";7 150,00;Италия
44;"Шоколад ""КАЗАХСТАН"" 0,1кг";946,00;Казахстан
45;"Шоколадная паста ""NUTELLA""  630гр";4 664,00;Россия
46;"Шоколадная паста ""NUTELLA"" 3кг";21 175,00;Россия
;  КОНСЕРВАЦИЯ;;
1;"Аджика ""ДинДин/Дракон"" 0,285л";363,00;Казахстан
2;"Аджика ""ЦИН КАЗ"" 0,37л";825,00;Казахстан
3;"Ананас консервированный ""AGROSSO"" 0,85л ";1 287,00;Россия
4;"Анчоусы  ""DELICIOUS"" 0,078кг (стекло)";3 388,00;Италия
5;"Анчоусы ""DELICIOUS"" 0,7кг";15 730,00;Италия
6;"Анчоусы ""ROLAND"" 0,056кг (красный)";2 266,00;Морокко
7;"Анчоусы в масле ""RE FILETTO""  0.075 кг";2 783,00;Италия
8;"Артишок "" ITALCARCIORI"" 0,314кг";1 694,00;Италия
9;"Артишок ""ITALCARCIORI"" 0,58кг";3 085,50;Италия
10;"Горошек зеленый ""BONDUELLE"" 0,425кг";968,00;Россия
11;"Горошек зеленый ""MIKADO"" 0,425кг ";638,00;Россия
12;Горошек зеленый дешевый ж/б 400гр.;341,00;Россия
13;Грибы Грузди маринованные 580гр;1 045,00;Россия
14;"Грибы ШИИТАКЕ маринованные ""DIVA"" 0,58л";990,00;Россия
15;Грибы ШИИТАКЕ сушеные 1кг;6 380,00;Китай
16;"Каперсы ""ITALCARCIOFI"" 0,212л";1 375,00;Италия
17;"Каперсы ""ITALCARCIOFI"" 0,72л";3 300,00;Италия
18;"Каперсы с веточкой ""DEMETRA"" 1,7л";20 350,00;Италия
19;"Каперсы с веточкой ""ITALCARCIOFI"" 0,72л";3 850,00;Италия
20;"Корнишоны ""VIT VIT"" 0,72л";748,00;Узбекистан 
21;"Корнишоны ""АSANYCH""  0,72л ";880,00;Россия
22;"Корнишоны индийские пикули ""ЭКОС"" 0,67л";913,00;Россия
23;"Кукуруза консервированная ""BONDUELLE"" 0,425л";968,00;Россия
24;Кукуруза консервированная 0,425кг ж\б (деш);330,00;Россия
25;"Кукуруза консервированная сахарная ""MIKADO"" 0,425кг ";638,00;Россия
26;Кукурузные початки маринованные 0.37л;814,00;Россия
27;"Маслины ""KING"" целые черные 0,28кг";572,00;Турция
28;"Маслины ""OLIVETTA"" без косточки 3л";5 324,00;Россия
29;"Маслины Каламата ""DEMETRA"" 1,7л ";18 425,00;Италия
30;"Маслины гигант ""ITALCARCIOFI"" с косточкой 0,58кг (стекло)";2 783,00;Италия
31;"Маслины резаные ""GREEN KING"" 3л";6 765,00;Россия
32;"Огурцы маринованные ""АЗАМАТ"" 2л";1 155,00;Казахстан
33;"Огурцы маринованные ""КЕРЕМЕТ"" 2л";902,00;Казахстан
34;"Оливки ""KING"" без косточки зеленые 0,28кг";682,00;Турция
35;"Оливки гигант ""TALCARCIOFI"" с косточкой 0,58кг (стекло)";2 662,00;Италия
36;"Оливки зеленные""Sun Feel"" 3кг";5 324,00;
37;"Опята маринованные  ""ДИВА\ЭКОС"" 0,58л";1 056,00;Россия
38;"Паста Том Ям ""AROY-D"" 0.4кг";2 145,00;Таиланд
39;"Паста Том Ям ""AROY-D"" 1кг";4 664,00;Таиланд
40;"Патиссоны маринованные ""ЭКОС"" 0,67л";836,00;Россия
41;"Перец стручковый маринованный ""YAKAMOZ"" 0,37кг";1 100,00;Турция
42;"Перец стручковый маринованный ""YAKAMOZ"" 0,72кг";2 123,00;Турция
43;"Персик консервированный ""AGROSSO"" 0,86";1 078,00;Россия
44;"Помидоры вяленые ""ITALCARCIOFI"" 0,58л";2 662,00;Италия
45;"Помидоры вяленые ""ITALCARCIOFI"" 0,72л";3 388,00;Италия
46;"Помидоры вяленые ""ITALCARCIOFI"" 1,062л";4 070,00;Италия
47;"Помидоры вяленые ""ITALCARCIOFI"" 3,1л";11 220,00;Италия
48;"Помидоры вяленые ""ITALCARСIOFI"" 0,314л";1 815,00;Италия
49;"Тунец ""Аквамарин"" в собстввенном соку\в масле 1,7кг";9 075,00;Россия
50;"Тунец ""Аквамарин/Пеликан"" 0,185кг";1 210,00;Россия
51;"Тунец ""ПЕЛИКАН"" в масле 1,7кг";8 712,00;Турция
52;"Тунец филе ""TUNA"" в масле 0.14кг";1 254,00;Казахстан
53;Фасоль белая 0,425кг (деш) ;385,00;Россия
54;"Фасоль белая в т\с ""МIKADO"" 0,425кг";605,00;Россия
55;"Фасоль красная ""BONDUELLE"" 0,425кг";946,00;Россия
56;Фасоль красная 0,42кг ж\б (деш);380,60;Россия
57;"Фасоль красная в с\с ""МIKADO"" 0,425кг";528,00;Россия
58;"Фасоль красная в т\с ""MIKADO"" 0,425кг";566,50;Россия
59;"Халапеньо ""YAKAMOZ"" 0,37кг";1 155,00;Турция
60;"Халапеньо ""YAKAMOZ"" 0,72кг";2 035,00;Турция
61;"Халапеньо ""YAKAMOZ"" 5кг";9 482,00;Турция
62;"Халапеньо ""YAKAMOZ"" перчик 5кг";9 474,30;Турция
63;"Халапеньо ""АЛМАТЫ"" перчик 5кг";2 750,00;Казахстан
64;"Халапеньо ""АЛМАТЫ"" резаные 5 кг";2 662,00;Казахстан
65;"Хрен ""МАХЕЕВ"" 0,14кг (мягкая упаковка)";473,00;Россия
66;"Хрен ""МАХЕЕВ"" 0,19кг (стекло)";682,00;Россия
67;"Черри консервированные ""ACANYH"" 0,72л";990,00;Узбекистан 
68;"Черри консервированные ""АВРОРА/ЭКОС"" 0,72л";715,00;Россия
69;"Шампиньоны  резанные ""GOODDAY "" 3 л";1 936,00;Китай
70;"Шампиньоны консервированные резанные ""GREEN CLUB"" 3л";4 235,00;Китай
71;"Шампиньоны консервированные резанные ""KING"" 3л ж\б";1 721,50;
72;"Шампиньоны консервированные резанные ""VEGDA"" 3л ж\б";1 911,80;Турция
73;"Шампиньоны консервированные резанные ""ЭКО LAND"" 3л";4 235,00;Россия
74;"Шампиньоны консервированные резаные""AGROSSO"" 3л";1 760,00;Россия
75;"Шампиньоны консервированные целые ""AGROSSO"" 3л ж\б";3 850,00;
76;"Шампиньоны консервированные целые ""ЭКО LAND"" 3л";4 356,00;Россия
77;"Шампиньоны маринованные ""DIVA"" 0,53/0,58г";1 089,00;Россия
;  КРУПЫ;;
1;"Булгур ""ВИП"" 0,8кг";913,00;Турция
2;Булгур 25кг;26 620,00;Турция
3;Булгур фасованный по 5кг;5 335,00;Казахстан
4;"Геркулес ""АЛТАЙСКАЯ СКАЗКА"" 0,4кг";275,00;Казахстан
5;"Геркулес ""ВИП""  0,4кг";220,00;Россия
6;"Геркулес ""ВИП""  4 злака  0,4кг";308,00;Россия
7;"Геркулес ""ВИП"" 3 злака 0,4кг";308,00;Россия
8;"Геркулес ""УВЕЛКА""  0,4кг";605,00;Россия
9;"Геркулес ""УВЕЛКА"" 6 злаков 0,35кг";704,00;Россия
10;Геркулес овсяные хлопья (вес);5 500,00;Казахстан
11;Геркулес фасовка 3кг;847,00;Россия
12;"Горох ""АЛТАЙСКАЯ СКАЗКА"" 0,8кг";495,00;Казахстан
13;"Горох ""ВИП"" колотый 0,8кг";484,00;Россия
14;Горох 25кг;7 568,00;Россия
15;Горох фасовка 5кг;1 518,00;Россия
16;Гречневая зеленая крупа (вес) ;13 612,50;Россия
17;"Гречневая крупа ""АЛТАЙСКАЯ СКАЗКА"" 0,8кг";330,00;Казахстан
18;"Гречневая крупа ""ВИП"" 0,8кг";473,00;Россия
19;Гречневая крупа (вес);338,80;Россия
20;Гречневая крупа фасовка 5кг;1 595,00;Россия
21;Киноа белая 1кг;2 310,00;Казахстан
22;Киноа белая 2 кг;8 712,00;
23;Киноа красная 1 кг;5 280,00;Казахстан
24;Киноа черная (вес);6 050,00;Казахстан
25;Киноа черная 1 кг;5 280,00;Казахстан
26;"Крупа ""ЦАРЬ"" экстра 0,4кг";638,00;Россия
27;Крупа Булгур 1кг (вес);1 067,00;Турция
28;"Крупа ЦАРЬ ""5 злаков"" 0,4кг";442,20;Россия
29;"Крупа ЦАРЬ ""7 злаков"" 0,4кг";473,00;Россия
30;Крупа перловая (вес);4 840,00;Россия
31;"Кукурузная крупа ""ВИП"" 0,7кг";407,00;Россия
32;Кукурузная крупа (вес);10 725,00;Россия
33;Кукурузная крупа фасовка 5кг;2 145,00;
34;"Кускус ""Granoro"" 1кг";2 541,00;Турция
35;"Кускус ""УВЕЛКА"" 0,4кг";880,00;Россия
36;"Манная крупа ""АЛТАЙСКАЯ СКАЗКА"" 0,7кг";330,00;Казахстан
37;"Манная крупа ""ВИП"" 0,7кг";385,00;Россия
38;Манная крупа (вес);330,00;Россия
39;Манная крупа фасовка 5кг;1 518,00;Казахстан
40;Маш (вес);1 155,00;Узбекистан 
41;Маш фасовка 5кг;5 203,00;Узбекистан 
42;Нут 1кг;847,00;Узбекистан 
43;Нут фасованный 5кг;1 749,00;Узбекистан 
44;Овсяные хлопья УВЕЛКА 0,35кг;715,00;Россия
45;Отруби вес.;154,00;Казахстан
46;Отруби фасовка 2кг;308,00;Казахстан
47;"Перловая крупа ""ВИП"" 0,8кг";369,60;Россия
48;Перловая крупа фасовка 5кг;968,00;Россия
49;"Птитим ""УВЕЛКА"" 0,45кг ";1 518,00;Россия
50;"Пшеничная крупа ""ВИП"" 0,6кг";264,00;Россия
51;Пшеничная крупа (вес);220,00;Россия
52;Пшеничная крупа фасовка 5кг;1 100,00;Россия
53;"Пшено ""АЛТАЙСКАЯ СКАЗКА"" 0,8кг";473,00;Казахстан
54;"Пшено ""ВИП"" 0,8кг";451,00;Россия
